material_id,formation_energy_per_atom,nsites
mp-862690,0.0,4
mp-1183076,-0.48027804250000306,4
mp-1183086,-0.43368235062500504,4
mp-862786,-0.386251328749999,4
mp-861883,-0.342298746250001,4
mp-867241,-0.665207049999995,4
mp-861872,-0.583250138125002,4
mp-1183377,-0.5060674862499961,4
mp-865951,-0.695376886249995,4
mp-866107,-0.6663974312499971,4
mp-1183093,-0.534733513749998,4
mp-1183074,-0.228840256874998,4
mp-1183078,-0.26746134000000005,4
mp-866103,-0.344917513749998,4
mp-1183079,-0.19924529333333202,4
mp-862849,-0.324698736250006,4
mp-11107,-3.737668289999997,5
mp-32800,-2.4930635934375,40
mp-865855,-0.6024802275000021,4
mp-1183072,-0.40701238124999806,4
mp-1183073,-0.513242463749996,4
mp-1183070,-0.570140636250002,4
mp-866018,-0.457048125,4
mp-1183067,-0.384465556874999,4
mp-1183106,-0.385861482499997,4
mp-985305,-0.25022404062499903,8
mp-985506,-0.16381396812499802,8
mp-866199,-0.27115698125000104,2
mp-1183065,-0.31133219437500503,4
mp-865950,-0.200376441875,8
mp-862617,-0.40891574812500003,8
mp-1183115,-3.690019421500002,5
mp-867838,-0.771291945625002,8
mp-27972,-2.494519163125,8
mp-30274,-3.396185964166668,6
mp-864644,-0.46622083812499604,4
mp-861880,-0.35402117937499605,4
mp-27971,-2.788094297499999,8
mp-30273,-3.586422302500002,6
mp-866101,-3.1389721295,5
mp-1183114,-0.059555694374999,8
mp-864606,-2.4228924235,5
mp-1006278,-0.779867236875,4
mp-1183124,-0.261695901874999,4
mp-985278,-4.467987469375,4
mp-861502,-2.771539465500001,5
mp-1183053,-3.063252617,5
mp-862665,-0.444330336874998,8
mp-24147,-0.6843335983333341,3
mp-861605,-0.671802030937499,4
mp-862289,-0.47723914374999704,8
mp-1183060,-0.32168960375000205,4
mp-861867,-1.801003203125001,8
mp-867297,-0.5507089056250011,8
mp-867321,-0.510612275624993,4
mp-1183118,-0.274911696875,4
mp-866286,-0.059893923749996004,2
mp-1525815,-0.035826379583333005,6
mp-865979,-0.238415764375,4
mp-866225,-0.421982165625006,4
mp-861735,-0.242557518541673,4
mp-1183182,-0.23583242437499802,4
mp-864911,-2.973630023086206,5
mp-866056,-1.322563138124998,4
mp-1183139,-2.455476575499998,5
mp-36526,-4.159415700833336,3
mp-867422,-0.6827262418750021,4
mp-1183220,-0.346064169374997,4
mp-865927,-3.60763573816667,5
mp-865958,-0.236608026875003,4
mp-865952,-0.6485188643749991,4
mp-984551,-0.453474278124999,4
mp-1183199,-0.345513796874996,4
